"n","policy","mean_risk","lib_id","task_id","lib_label","task_label"
1,"Exact",2.76046071530266,3,"LogCosh","Library 3: Pauli-6 + Tetrahedral POVM","LogCosh"
2,"Exact",1.38850138576902,3,"LogCosh","Library 3: Pauli-6 + Tetrahedral POVM","LogCosh"
3,"Exact",0.927333254573799,3,"LogCosh","Library 3: Pauli-6 + Tetrahedral POVM","LogCosh"
4,"Exact",0.695894213196653,3,"LogCosh","Library 3: Pauli-6 + Tetrahedral POVM","LogCosh"
5,"Exact",0.557206553679243,3,"LogCosh","Library 3: Pauli-6 + Tetrahedral POVM","LogCosh"
6,"Exact",0.465038855205382,3,"LogCosh","Library 3: Pauli-6 + Tetrahedral POVM","LogCosh"
7,"Exact",0.398461933734639,3,"LogCosh","Library 3: Pauli-6 + Tetrahedral POVM","LogCosh"
8,"Exact",0.348888458316803,3,"LogCosh","Library 3: Pauli-6 + Tetrahedral POVM","LogCosh"
9,"Exact",0.310155098864412,3,"LogCosh","Library 3: Pauli-6 + Tetrahedral POVM","LogCosh"
10,"Exact",0.27919863247204,3,"LogCosh","Library 3: Pauli-6 + Tetrahedral POVM","LogCosh"
11,"Exact",0.252611947204635,3,"LogCosh","Library 3: Pauli-6 + Tetrahedral POVM","LogCosh"
12,"Exact",0.230741777070008,3,"LogCosh","Library 3: Pauli-6 + Tetrahedral POVM","LogCosh"
13,"Exact",0.212422851797539,3,"LogCosh","Library 3: Pauli-6 + Tetrahedral POVM","LogCosh"
14,"Exact",0.196867655112233,3,"LogCosh","Library 3: Pauli-6 + Tetrahedral POVM","LogCosh"
15,"Exact",0.183476041052176,3,"LogCosh","Library 3: Pauli-6 + Tetrahedral POVM","LogCosh"
16,"Exact",0.171826865053114,3,"LogCosh","Library 3: Pauli-6 + Tetrahedral POVM","LogCosh"
17,"Exact",0.161578175736095,3,"LogCosh","Library 3: Pauli-6 + Tetrahedral POVM","LogCosh"
18,"Exact",0.152510016708286,3,"LogCosh","Library 3: Pauli-6 + Tetrahedral POVM","LogCosh"
19,"Exact",0.144404642618684,3,"LogCosh","Library 3: Pauli-6 + Tetrahedral POVM","LogCosh"
20,"Exact",0.137132187906106,3,"LogCosh","Library 3: Pauli-6 + Tetrahedral POVM","LogCosh"
21,"Exact",0.130560528690241,3,"LogCosh","Library 3: Pauli-6 + Tetrahedral POVM","LogCosh"
