"n","policy","mean_risk","lib_id","task_id","lib_label","task_label"
1,"Exact",52779432.3735025,4,"Bures","Library 4: Random PVMs","Bures"
2,"Exact",27643034.4381544,4,"Bures","Library 4: Random PVMs","Bures"
3,"Exact",4.04504463110041,4,"Bures","Library 4: Random PVMs","Bures"
4,"Exact",3.38827434279121,4,"Bures","Library 4: Random PVMs","Bures"
5,"Exact",2.90783612660723,4,"Bures","Library 4: Random PVMs","Bures"
6,"Exact",2.54396592529773,4,"Bures","Library 4: Random PVMs","Bures"
7,"Exact",2.2688704961927,4,"Bures","Library 4: Random PVMs","Bures"
8,"Exact",1.98638347048552,4,"Bures","Library 4: Random PVMs","Bures"
9,"Exact",1.75677752345957,4,"Bures","Library 4: Random PVMs","Bures"
10,"Exact",1.61200823009005,4,"Bures","Library 4: Random PVMs","Bures"
11,"Exact",1.2747037672354,4,"Bures","Library 4: Random PVMs","Bures"
12,"Exact",1.11081063077635,4,"Bures","Library 4: Random PVMs","Bures"
13,"Exact",1.00359019186088,4,"Bures","Library 4: Random PVMs","Bures"
14,"Exact",0.913893319664924,4,"Bures","Library 4: Random PVMs","Bures"
15,"Exact",0.838772809406329,4,"Bures","Library 4: Random PVMs","Bures"
16,"Exact",0.780636738473245,4,"Bures","Library 4: Random PVMs","Bures"
17,"Exact",0.732502504621906,4,"Bures","Library 4: Random PVMs","Bures"
18,"Exact",0.689506673182756,4,"Bures","Library 4: Random PVMs","Bures"
19,"Exact",0.652414788066127,4,"Bures","Library 4: Random PVMs","Bures"
20,"Exact",0.618782074991292,4,"Bures","Library 4: Random PVMs","Bures"
21,"Exact",0.589425801738493,4,"Bures","Library 4: Random PVMs","Bures"
22,"Exact",0.563367231037363,4,"Bures","Library 4: Random PVMs","Bures"
23,"Exact",0.538902215228144,4,"Bures","Library 4: Random PVMs","Bures"
24,"Exact",0.517545423853696,4,"Bures","Library 4: Random PVMs","Bures"
25,"Exact",0.49530159821534,4,"Bures","Library 4: Random PVMs","Bures"
26,"Exact",0.475516374849819,4,"Bures","Library 4: Random PVMs","Bures"
27,"Exact",0.457459844034473,4,"Bures","Library 4: Random PVMs","Bures"
28,"Exact",0.441059946937843,4,"Bures","Library 4: Random PVMs","Bures"
29,"Exact",0.424561968099928,4,"Bures","Library 4: Random PVMs","Bures"
30,"Exact",0.410031236132288,4,"Bures","Library 4: Random PVMs","Bures"
31,"Exact",0.396549484505946,4,"Bures","Library 4: Random PVMs","Bures"
32,"Exact",0.382970877069842,4,"Bures","Library 4: Random PVMs","Bures"
33,"Exact",0.370747701803925,4,"Bures","Library 4: Random PVMs","Bures"
34,"Exact",0.359292029678049,4,"Bures","Library 4: Random PVMs","Bures"
35,"Exact",0.349161512213808,4,"Bures","Library 4: Random PVMs","Bures"
36,"Exact",0.339549044437583,4,"Bures","Library 4: Random PVMs","Bures"
37,"Exact",0.330767402065832,4,"Bures","Library 4: Random PVMs","Bures"
38,"Exact",0.322028982315625,4,"Bures","Library 4: Random PVMs","Bures"
39,"Exact",0.313567957751728,4,"Bures","Library 4: Random PVMs","Bures"
40,"Exact",0.305083869262138,4,"Bures","Library 4: Random PVMs","Bures"
41,"Exact",0.297831188786068,4,"Bures","Library 4: Random PVMs","Bures"
42,"Exact",0.290777993663676,4,"Bures","Library 4: Random PVMs","Bures"
43,"Exact",0.283504625632521,4,"Bures","Library 4: Random PVMs","Bures"
44,"Exact",0.276726613386956,4,"Bures","Library 4: Random PVMs","Bures"
45,"Exact",0.270716708759093,4,"Bures","Library 4: Random PVMs","Bures"
46,"Exact",0.264847617972587,4,"Bures","Library 4: Random PVMs","Bures"
47,"Exact",0.259287811938105,4,"Bures","Library 4: Random PVMs","Bures"
48,"Exact",0.253582447100243,4,"Bures","Library 4: Random PVMs","Bures"
49,"Exact",0.248492278916471,4,"Bures","Library 4: Random PVMs","Bures"
50,"Exact",0.243628135413243,4,"Bures","Library 4: Random PVMs","Bures"
1,"GI1",52779432.3735025,4,"Bures","Library 4: Random PVMs","Bures"
2,"GI1",27643034.4381544,4,"Bures","Library 4: Random PVMs","Bures"
3,"GI1",4.04504463110041,4,"Bures","Library 4: Random PVMs","Bures"
4,"GI1",3.38827434279121,4,"Bures","Library 4: Random PVMs","Bures"
5,"GI1",2.91944296066408,4,"Bures","Library 4: Random PVMs","Bures"
6,"GI1",2.55248549024248,4,"Bures","Library 4: Random PVMs","Bures"
7,"GI1",2.25048931966375,4,"Bures","Library 4: Random PVMs","Bures"
8,"GI1",2.00907218957387,4,"Bures","Library 4: Random PVMs","Bures"
9,"GI1",1.81234503912529,4,"Bures","Library 4: Random PVMs","Bures"
10,"GI1",1.66536868376445,4,"Bures","Library 4: Random PVMs","Bures"
11,"GI1",1.30488618179666,4,"Bures","Library 4: Random PVMs","Bures"
12,"GI1",1.12098587732591,4,"Bures","Library 4: Random PVMs","Bures"
13,"GI1",1.00488740188119,4,"Bures","Library 4: Random PVMs","Bures"
