"n","policy","mean_risk","lib_id","task_id","lib_label","task_label"
1,"Exact",100000000.160037,4,"Frob","Library 4: Random PVMs","Frobenius"
2,"Exact",50000001.1622892,4,"Frob","Library 4: Random PVMs","Frobenius"
3,"Exact",7.01594402882576,4,"Frob","Library 4: Random PVMs","Frobenius"
4,"Exact",5.7781354116395,4,"Frob","Library 4: Random PVMs","Frobenius"
5,"Exact",4.95810392209136,4,"Frob","Library 4: Random PVMs","Frobenius"
6,"Exact",4.33293435912343,4,"Frob","Library 4: Random PVMs","Frobenius"
7,"Exact",3.87234070615369,4,"Frob","Library 4: Random PVMs","Frobenius"
8,"Exact",3.39053210762665,4,"Frob","Library 4: Random PVMs","Frobenius"
9,"Exact",2.99425121291605,4,"Frob","Library 4: Random PVMs","Frobenius"
10,"Exact",2.75005119515884,4,"Frob","Library 4: Random PVMs","Frobenius"
11,"Exact",2.17057507039895,4,"Frob","Library 4: Random PVMs","Frobenius"
12,"Exact",1.89789759787157,4,"Frob","Library 4: Random PVMs","Frobenius"
13,"Exact",1.71287881863303,4,"Frob","Library 4: Random PVMs","Frobenius"
14,"Exact",1.56054780425859,4,"Frob","Library 4: Random PVMs","Frobenius"
15,"Exact",1.45028323248921,4,"Frob","Library 4: Random PVMs","Frobenius"
16,"Exact",1.36126161261425,4,"Frob","Library 4: Random PVMs","Frobenius"
17,"Exact",1.27249840457796,4,"Frob","Library 4: Random PVMs","Frobenius"
18,"Exact",1.20486663934461,4,"Frob","Library 4: Random PVMs","Frobenius"
19,"Exact",1.13850550096206,4,"Frob","Library 4: Random PVMs","Frobenius"
20,"Exact",1.08388288760084,4,"Frob","Library 4: Random PVMs","Frobenius"
21,"Exact",1.03238197132215,4,"Frob","Library 4: Random PVMs","Frobenius"
22,"Exact",0.980509272530432,4,"Frob","Library 4: Random PVMs","Frobenius"
23,"Exact",0.93862863569568,4,"Frob","Library 4: Random PVMs","Frobenius"
24,"Exact",0.903136080291547,4,"Frob","Library 4: Random PVMs","Frobenius"
25,"Exact",0.86536503569639,4,"Frob","Library 4: Random PVMs","Frobenius"
26,"Exact",0.830743705580968,4,"Frob","Library 4: Random PVMs","Frobenius"
27,"Exact",0.798698839861759,4,"Frob","Library 4: Random PVMs","Frobenius"
28,"Exact",0.770320203903458,4,"Frob","Library 4: Random PVMs","Frobenius"
29,"Exact",0.743035448716062,4,"Frob","Library 4: Random PVMs","Frobenius"
30,"Exact",0.717818804802074,4,"Frob","Library 4: Random PVMs","Frobenius"
31,"Exact",0.693789447464323,4,"Frob","Library 4: Random PVMs","Frobenius"
32,"Exact",0.672595634578514,4,"Frob","Library 4: Random PVMs","Frobenius"
33,"Exact",0.650115311303909,4,"Frob","Library 4: Random PVMs","Frobenius"
34,"Exact",0.631053778864182,4,"Frob","Library 4: Random PVMs","Frobenius"
35,"Exact",0.611488324668447,4,"Frob","Library 4: Random PVMs","Frobenius"
36,"Exact",0.593394880843362,4,"Frob","Library 4: Random PVMs","Frobenius"
37,"Exact",0.576518169694027,4,"Frob","Library 4: Random PVMs","Frobenius"
38,"Exact",0.561736472893483,4,"Frob","Library 4: Random PVMs","Frobenius"
39,"Exact",0.545940358064627,4,"Frob","Library 4: Random PVMs","Frobenius"
40,"Exact",0.532326635450212,4,"Frob","Library 4: Random PVMs","Frobenius"
41,"Exact",0.518336620058991,4,"Frob","Library 4: Random PVMs","Frobenius"
42,"Exact",0.504539948545569,4,"Frob","Library 4: Random PVMs","Frobenius"
43,"Exact",0.493118758307544,4,"Frob","Library 4: Random PVMs","Frobenius"
44,"Exact",0.48113576130152,4,"Frob","Library 4: Random PVMs","Frobenius"
45,"Exact",0.470871486763795,4,"Frob","Library 4: Random PVMs","Frobenius"
46,"Exact",0.460439471684299,4,"Frob","Library 4: Random PVMs","Frobenius"
47,"Exact",0.450299500699508,4,"Frob","Library 4: Random PVMs","Frobenius"
48,"Exact",0.440772501111908,4,"Frob","Library 4: Random PVMs","Frobenius"
49,"Exact",0.431287175056546,4,"Frob","Library 4: Random PVMs","Frobenius"
50,"Exact",0.422449184125286,4,"Frob","Library 4: Random PVMs","Frobenius"
1,"GI1",100000000.160037,4,"Frob","Library 4: Random PVMs","Frobenius"
2,"GI1",50000001.1622892,4,"Frob","Library 4: Random PVMs","Frobenius"
3,"GI1",7.01594402882576,4,"Frob","Library 4: Random PVMs","Frobenius"
4,"GI1",5.7781354116395,4,"Frob","Library 4: Random PVMs","Frobenius"
5,"GI1",4.96852562396655,4,"Frob","Library 4: Random PVMs","Frobenius"
6,"GI1",4.33798294320797,4,"Frob","Library 4: Random PVMs","Frobenius"
7,"GI1",3.81561446867859,4,"Frob","Library 4: Random PVMs","Frobenius"
8,"GI1",3.41778071601246,4,"Frob","Library 4: Random PVMs","Frobenius"
9,"GI1",3.07616733580505,4,"Frob","Library 4: Random PVMs","Frobenius"
10,"GI1",2.82831862724339,4,"Frob","Library 4: Random PVMs","Frobenius"
11,"GI1",2.21183342282211,4,"Frob","Library 4: Random PVMs","Frobenius"
12,"GI1",1.91410276036906,4,"Frob","Library 4: Random PVMs","Frobenius"
13,"GI1",1.73614821531115,4,"Frob","Library 4: Random PVMs","Frobenius"
14,"GI1",1.57300581971464,4,"Frob","Library 4: Random PVMs","Frobenius"
15,"GI1",1.45638643824021,4,"Frob","Library 4: Random PVMs","Frobenius"
16,"GI1",1.36180383762327,4,"Frob","Library 4: Random PVMs","Frobenius"
17,"GI1",1.26964345584169,4,"Frob","Library 4: Random PVMs","Frobenius"
18,"GI1",1.19916401023514,4,"Frob","Library 4: Random PVMs","Frobenius"
19,"GI1",1.13523193895175,4,"Frob","Library 4: Random PVMs","Frobenius"
20,"GI1",1.07850219485799,4,"Frob","Library 4: Random PVMs","Frobenius"
21,"GI1",1.02295239754722,4,"Frob","Library 4: Random PVMs","Frobenius"
22,"GI1",0.977064081353228,4,"Frob","Library 4: Random PVMs","Frobenius"
23,"GI1",0.934969323232295,4,"Frob","Library 4: Random PVMs","Frobenius"
24,"GI1",0.892765188692634,4,"Frob","Library 4: Random PVMs","Frobenius"
25,"GI1",0.857478235419981,4,"Frob","Library 4: Random PVMs","Frobenius"
26,"GI1",0.822343385677178,4,"Frob","Library 4: Random PVMs","Frobenius"
27,"GI1",0.79240975061759,4,"Frob","Library 4: Random PVMs","Frobenius"
28,"GI1",0.759242637404396,4,"Frob","Library 4: Random PVMs","Frobenius"
29,"GI1",0.732180393271746,4,"Frob","Library 4: Random PVMs","Frobenius"
30,"GI1",0.707521725113329,4,"Frob","Library 4: Random PVMs","Frobenius"
31,"GI1",0.682648219777028,4,"Frob","Library 4: Random PVMs","Frobenius"
32,"GI1",0.660763066218802,4,"Frob","Library 4: Random PVMs","Frobenius"
33,"GI1",0.639554548062026,4,"Frob","Library 4: Random PVMs","Frobenius"
34,"GI1",0.620446404828075,4,"Frob","Library 4: Random PVMs","Frobenius"
35,"GI1",0.602925043911017,4,"Frob","Library 4: Random PVMs","Frobenius"
36,"GI1",0.585735709346001,4,"Frob","Library 4: Random PVMs","Frobenius"
37,"GI1",0.569203018767403,4,"Frob","Library 4: Random PVMs","Frobenius"
38,"GI1",0.553392799034763,4,"Frob","Library 4: Random PVMs","Frobenius"
39,"GI1",0.538902094605107,4,"Frob","Library 4: Random PVMs","Frobenius"
40,"GI1",0.525257925255519,4,"Frob","Library 4: Random PVMs","Frobenius"
41,"GI1",0.511807704476631,4,"Frob","Library 4: Random PVMs","Frobenius"
42,"GI1",0.49965127140393,4,"Frob","Library 4: Random PVMs","Frobenius"
43,"GI1",0.487742823941544,4,"Frob","Library 4: Random PVMs","Frobenius"
44,"GI1",0.476800601620836,4,"Frob","Library 4: Random PVMs","Frobenius"
45,"GI1",0.466335798131819,4,"Frob","Library 4: Random PVMs","Frobenius"
46,"GI1",0.455583000658052,4,"Frob","Library 4: Random PVMs","Frobenius"
47,"GI1",0.445152738644722,4,"Frob","Library 4: Random PVMs","Frobenius"
48,"GI1",0.435695122986385,4,"Frob","Library 4: Random PVMs","Frobenius"
49,"GI1",0.426239172671712,4,"Frob","Library 4: Random PVMs","Frobenius"
50,"GI1",0.417522603129445,4,"Frob","Library 4: Random PVMs","Frobenius"
1,"Uniform",100000000.160037,4,"Frob","Library 4: Random PVMs","Frobenius"
2,"Uniform",50000001.1622892,4,"Frob","Library 4: Random PVMs","Frobenius"
3,"Uniform",7.01594402882576,4,"Frob","Library 4: Random PVMs","Frobenius"
4,"Uniform",5.7781354116395,4,"Frob","Library 4: Random PVMs","Frobenius"
5,"Uniform",5.08127634560813,4,"Frob","Library 4: Random PVMs","Frobenius"
6,"Uniform",4.45579235216857,4,"Frob","Library 4: Random PVMs","Frobenius"
7,"Uniform",3.94228128437675,4,"Frob","Library 4: Random PVMs","Frobenius"
8,"Uniform",3.44427349780127,4,"Frob","Library 4: Random PVMs","Frobenius"
9,"Uniform",3.1004831817291,4,"Frob","Library 4: Random PVMs","Frobenius"
10,"Uniform",2.80813399125906,4,"Frob","Library 4: Random PVMs","Frobenius"
11,"Uniform",2.57667699201096,4,"Frob","Library 4: Random PVMs","Frobenius"
12,"Uniform",2.32586247630837,4,"Frob","Library 4: Random PVMs","Frobenius"
13,"Uniform",2.1331491718352,4,"Frob","Library 4: Random PVMs","Frobenius"
14,"Uniform",1.94529754459725,4,"Frob","Library 4: Random PVMs","Frobenius"
15,"Uniform",1.80866779976635,4,"Frob","Library 4: Random PVMs","Frobenius"
