"n","policy","mean_risk","lib_id","task_id","lib_label","task_label"
1,"Exact",100129047.376651,4,"TaskObs","Library 4: Random PVMs","TaskObs"
2,"Exact",9239784.36036233,4,"TaskObs","Library 4: Random PVMs","TaskObs"
3,"Exact",1.45662137710382,4,"TaskObs","Library 4: Random PVMs","TaskObs"
4,"Exact",1.22437649995761,4,"TaskObs","Library 4: Random PVMs","TaskObs"
5,"Exact",1.05301019179664,4,"TaskObs","Library 4: Random PVMs","TaskObs"
6,"Exact",0.92642994143218,4,"TaskObs","Library 4: Random PVMs","TaskObs"
7,"Exact",0.803872945245055,4,"TaskObs","Library 4: Random PVMs","TaskObs"
8,"Exact",0.706242647607805,4,"TaskObs","Library 4: Random PVMs","TaskObs"
9,"Exact",0.630298093872464,4,"TaskObs","Library 4: Random PVMs","TaskObs"
10,"Exact",0.572736414199435,4,"TaskObs","Library 4: Random PVMs","TaskObs"
11,"Exact",0.44894880620426,4,"TaskObs","Library 4: Random PVMs","TaskObs"
12,"Exact",0.387396698370414,4,"TaskObs","Library 4: Random PVMs","TaskObs"
13,"Exact",0.346590844751819,4,"TaskObs","Library 4: Random PVMs","TaskObs"
14,"Exact",0.318132862517822,4,"TaskObs","Library 4: Random PVMs","TaskObs"
15,"Exact",0.293959162352188,4,"TaskObs","Library 4: Random PVMs","TaskObs"
16,"Exact",0.273380581690894,4,"TaskObs","Library 4: Random PVMs","TaskObs"
17,"Exact",0.256469964881846,4,"TaskObs","Library 4: Random PVMs","TaskObs"
18,"Exact",0.240098703373951,4,"TaskObs","Library 4: Random PVMs","TaskObs"
19,"Exact",0.228026828494081,4,"TaskObs","Library 4: Random PVMs","TaskObs"
20,"Exact",0.215347606113566,4,"TaskObs","Library 4: Random PVMs","TaskObs"
21,"Exact",0.204943854622465,4,"TaskObs","Library 4: Random PVMs","TaskObs"
22,"Exact",0.194422626662274,4,"TaskObs","Library 4: Random PVMs","TaskObs"
23,"Exact",0.185053624148752,4,"TaskObs","Library 4: Random PVMs","TaskObs"
24,"Exact",0.17683817388152,4,"TaskObs","Library 4: Random PVMs","TaskObs"
25,"Exact",0.16885039678091,4,"TaskObs","Library 4: Random PVMs","TaskObs"
26,"Exact",0.162393038609953,4,"TaskObs","Library 4: Random PVMs","TaskObs"
27,"Exact",0.155693923156839,4,"TaskObs","Library 4: Random PVMs","TaskObs"
28,"Exact",0.149661304799402,4,"TaskObs","Library 4: Random PVMs","TaskObs"
29,"Exact",0.144179702498003,4,"TaskObs","Library 4: Random PVMs","TaskObs"
30,"Exact",0.139236306632813,4,"TaskObs","Library 4: Random PVMs","TaskObs"
31,"Exact",0.13474176323012,4,"TaskObs","Library 4: Random PVMs","TaskObs"
32,"Exact",0.130346770562616,4,"TaskObs","Library 4: Random PVMs","TaskObs"
33,"Exact",0.126380462926774,4,"TaskObs","Library 4: Random PVMs","TaskObs"
34,"Exact",0.122526774219206,4,"TaskObs","Library 4: Random PVMs","TaskObs"
35,"Exact",0.118923749714919,4,"TaskObs","Library 4: Random PVMs","TaskObs"
36,"Exact",0.115590346853139,4,"TaskObs","Library 4: Random PVMs","TaskObs"
37,"Exact",0.112407613446507,4,"TaskObs","Library 4: Random PVMs","TaskObs"
38,"Exact",0.109309167765058,4,"TaskObs","Library 4: Random PVMs","TaskObs"
39,"Exact",0.106450286714063,4,"TaskObs","Library 4: Random PVMs","TaskObs"
40,"Exact",0.103601856221183,4,"TaskObs","Library 4: Random PVMs","TaskObs"
41,"Exact",0.100767179233777,4,"TaskObs","Library 4: Random PVMs","TaskObs"
42,"Exact",0.0981940819585281,4,"TaskObs","Library 4: Random PVMs","TaskObs"
43,"Exact",0.095635183668478,4,"TaskObs","Library 4: Random PVMs","TaskObs"
44,"Exact",0.0933153741807761,4,"TaskObs","Library 4: Random PVMs","TaskObs"
45,"Exact",0.091268106056724,4,"TaskObs","Library 4: Random PVMs","TaskObs"
46,"Exact",0.0891998533653087,4,"TaskObs","Library 4: Random PVMs","TaskObs"
47,"Exact",0.0872588740205338,4,"TaskObs","Library 4: Random PVMs","TaskObs"
48,"Exact",0.0853922390435563,4,"TaskObs","Library 4: Random PVMs","TaskObs"
49,"Exact",0.0836379481795079,4,"TaskObs","Library 4: Random PVMs","TaskObs"
